Time - Fc (N),Amplitude - Fc (N)
1.298,-0.395868
1.3,-0.411358
1.302,-0.426723
1.304,-0.441958
1.306,-0.457058
1.308,-0.472017
1.31,-0.486831
1.312,-0.501496
1.314,-0.516005
1.316,-0.530355
1.318,-0.54454
1.32,-0.558556
1.322,-0.572398
1.324,-0.586062
1.326,-0.599542
1.328,-0.612835
1.33,-0.625935
1.332,-0.638839
1.334,-0.651542
1.336,-0.664039
1.338,-0.676327
1.34,-0.688401
1.342,-0.700257
1.344,-0.71189
1.346,-0.723298
1.348,-0.734475
1.35,-0.745419
1.352,-0.756124
1.354,-0.766588
1.356,-0.776806
1.358,-0.786776
1.36,-0.796493
1.362,-0.805954
1.364,-0.815155
1.366,-0.824094
1.368,-0.832767
1.37,-0.841171
1.372,-0.849303
1.374,-0.85716
1.376,-0.864738
1.378,-0.872036
1.38,-0.87905
1.382,-0.885778
1.384,-0.892217
1.386,-0.898364
1.388,-0.904218
1.39,-0.909776
1.392,-0.915036
1.394,-0.919996
1.396,-0.924653
1.398,-0.929007
1.4,-0.933054
1.402,-0.936793
1.404,-0.940224
1.406,-0.943343
1.408,-0.946151
1.41,-0.948644
1.412,-0.950823
1.414,-0.952687
1.416,-0.954233
1.418,-0.955462
1.42,-0.956372
1.422,-0.956963
1.424,-0.957234
1.426,-0.957185
1.428,-0.956816
1.43,-0.956125
1.432,-0.955114
1.434,-0.953781
1.436,-0.952127
1.438,-0.950153
1.44,-0.947858
1.442,-0.945243
1.444,-0.942308
1.446,-0.939055
1.448,-0.935482
1.45,-0.931593
1.452,-0.927387
1.454,-0.922865
1.456,-0.918029
1.458,-0.91288
1.46,-0.90742
1.462,-0.901649
1.464,-0.895569
1.466,-0.889183
1.468,-0.882492
1.47,-0.875497
1.472,-0.868202
1.474,-0.860607
1.476,-0.852716
1.478,-0.84453
1.48,-0.836053
1.482,-0.827286
1.484,-0.818233
1.486,-0.808895
1.488,-0.799277
1.49,-0.789381
1.492,-0.779209
1.494,-0.768766
1.496,-0.758055
1.498,-0.747078
1.5,-0.73584
1.502,-0.724344
1.504,-0.712594
1.506,-0.700593
1.508,-0.688345
1.51,-0.675855
1.512,-0.663126
1.514,-0.650163
1.516,-0.636969
1.518,-0.62355
1.52,-0.609909
1.522,-0.596051
1.524,-0.58198
1.526,-0.567702
1.528,-0.553221
1.53,-0.538542
1.532,-0.52367
1.534,-0.50861
1.536,-0.493366
1.538,-0.477945
1.54,-0.462351
1.542,-0.446589
1.544,-0.430666
1.546,-0.414585
1.548,-0.398354
1.55,-0.381977
1.552,-0.36546
1.554,-0.348809
1.556,-0.332029
1.558,-0.315126
1.56,-0.298107
1.562,-0.280977
1.564,-0.263742
1.566,-0.246407
1.568,-0.22898
1.57,-0.211466
1.572,-0.193872
1.574,-0.176203
1.576,-0.158466
1.578,-0.140667
1.58,-0.122812
1.582,-0.104908
1.584,-0.086961
1.586,-0.0689775
1.588,-0.0509638
1.59,-0.0329265
1.592,-0.0148719
1.594,0.00319333
1.596,0.0212628
1.598,0.0393301
1.6,0.0573885
1.602,0.0754315
1.604,0.0934527
1.606,0.111445
1.608,0.129403
1.61,0.147319
1.612,0.165187
1.614,0.183001
1.616,0.200753
1.618,0.218437
1.62,0.236048
1.622,0.253577
1.624,0.271019
1.626,0.288368
1.628,0.305616
1.63,0.322758
1.632,0.339787
1.634,0.356697
1.636,0.373481
1.638,0.390133
1.64,0.406646
1.642,0.423016
1.644,0.439234
1.646,0.455296
1.648,0.471195
1.65,0.486925
1.652,0.50248
1.654,0.517854
1.656,0.533041
1.658,0.548036
1.66,0.562832
1.662,0.577425
1.664,0.591807
1.666,0.605975
1.668,0.619921
1.67,0.633641
1.672,0.64713
1.674,0.660382
1.676,0.673391
1.678,0.686154
1.68,0.698664
1.682,0.710917
1.684,0.722908
1.686,0.734631
1.688,0.746084
1.69,0.75726
1.692,0.768155
1.694,0.778766
1.696,0.789087
1.698,0.799114
1.7,0.808844
1.702,0.818272
1.704,0.827394
1.706,0.836207
1.708,0.844707
1.71,0.85289
1.712,0.860753
1.714,0.868293
1.716,0.875506
1.718,0.88239
1.72,0.88894
