Time - Fc (N,Amplitude - Fc (N
1.976,0.569312
1.978,0.536048
1.98,0.501761
1.982,0.466518
1.984,0.430384
1.986,0.393429
1.988,0.355722
1.99,0.317337
1.992,0.278344
1.994,0.23882
1.996,0.198839
1.998,0.158478
2,0.117813
2.002,0.0769229
2.004,0.035885
2.006,-0.00522194
2.008,-0.0463193
2.01,-0.0873284
2.012,-0.128171
2.014,-0.168768
2.016,-0.209042
2.018,-0.248916
2.02,-0.288314
2.022,-0.327159
2.024,-0.365377
2.026,-0.402894
2.028,-0.439639
2.03,-0.47554
2.032,-0.510528
2.034,-0.544536
2.036,-0.577499
2.038,-0.609352
2.04,-0.640034
2.042,-0.669486
2.044,-0.69765
2.046,-0.724473
2.048,-0.749902
2.05,-0.773887
2.052,-0.796383
2.054,-0.817346
2.056,-0.836734
2.058,-0.85451
2.06,-0.87064
2.062,-0.88509
2.064,-0.897834
2.066,-0.908847
2.068,-0.918105
2.07,-0.925592
2.072,-0.931292
2.074,-0.935194
2.076,-0.937289
2.078,-0.937573
2.08,-0.936045
2.082,-0.932707
2.084,-0.927566
2.086,-0.92063
2.088,-0.911913
2.09,-0.901432
2.092,-0.889204
2.094,-0.875255
2.096,-0.859611
2.098,-0.842301
2.1,-0.823358
2.102,-0.802819
2.104,-0.780723
2.106,-0.757113
2.108,-0.732033
2.11,-0.705533
2.112,-0.677662
2.114,-0.648476
2.116,-0.61803
2.118,-0.586383
2.12,-0.553596
2.122,-0.519733
2.124,-0.484858
2.126,-0.449041
2.128,-0.412349
2.13,-0.374855
2.132,-0.336631
2.134,-0.297751
2.136,-0.258291
2.138,-0.218328
2.14,-0.177938
2.142,-0.137202
2.144,-0.0961972
2.146,-0.0550049
2.148,-0.0137049
2.15,0.0276222
2.152,0.0688957
2.154,0.110035
2.156,0.15096
2.158,0.19159
2.16,0.231846
2.162,0.27165
2.164,0.310922
2.166,0.349587
2.168,0.387568
2.17,0.424792
2.172,0.461184
2.174,0.496673
2.176,0.531191
2.178,0.564668
2.18,0.597039
2.182,0.62824
2.184,0.658209
2.186,0.686889
2.188,0.714221
2.19,0.740152
2.192,0.764631
2.194,0.787608
2.196,0.80904
2.198,0.828882
2.2,0.847097
2.202,0.863646
2.204,0.878499
2.206,0.891623
2.208,0.902995
2.21,0.91259
2.212,0.920389
2.214,0.926376
2.216,0.93054
2.218,0.93287
2.22,0.933363
2.222,0.932017
2.224,0.928834
2.226,0.92382
2.228,0.916983
2.23,0.908337
2.232,0.8979
2.234,0.885689
2.236,0.87173
2.238,0.85605
2.24,0.838678
2.242,0.819649
2.244,0.799
2.246,0.776771
2.248,0.753006
2.25,0.727751
2.252,0.701057
2.254,0.672974
2.256,0.643559
2.258,0.61287
2.26,0.580966
2.262,0.547911
2.264,0.51377
2.266,0.47861
2.268,0.442501
2.27,0.405515
2.272,0.367723
2.274,0.329201
2.276,0.290026
2.278,0.250275
2.28,0.210026
2.282,0.169359
2.284,0.128356
2.286,0.0870978
2.288,0.0456659
2.29,0.00414287
2.292,-0.0373886
2.294,-0.078846
2.296,-0.120147
2.298,-0.161208
2.3,-0.201949
2.302,-0.242288
2.304,-0.282145
2.306,-0.321439
2.308,-0.360093
2.31,-0.398029
2.312,-0.435171
2.314,-0.471445
2.316,-0.506778
2.318,-0.5411
2.32,-0.574342
2.322,-0.606436
2.324,-0.637319
2.326,-0.666929
2.328,-0.695206
2.33,-0.722092
2.332,-0.747535
2.334,-0.771482
2.336,-0.793885
2.338,-0.8147
2.34,-0.833883
2.342,-0.851396
2.344,-0.867204
2.346,-0.881274
2.348,-0.893578
2.35,-0.90409
2.352,-0.912789
2.354,-0.919657
2.356,-0.924679
2.358,-0.927846
2.36,-0.92915
2.362,-0.928588
2.364,-0.926161
2.366,-0.921873
2.368,-0.915732
2.37,-0.90775
2.372,-0.897942
2.374,-0.886329
2.376,-0.872932
2.378,-0.857778
2.38,-0.840897
2.382,-0.822323
2.384,-0.802092
2.386,-0.780246
2.388,-0.756827
2.39,-0.731882
2.392,-0.705462
2.394,-0.677618
2.396,-0.648407
2.398,-0.617888
2.4,-0.586121
2.402,-0.553171
2.404,-0.519104
2.406,-0.483987
2.408,-0.447893
2.41,-0.410893
2.412,-0.373062
2.414,-0.334477
2.416,-0.295215
2.418,-0.255355
2.42,-0.214978
2.422,-0.174166
2.424,-0.133001
2.426,-0.0915669
2.428,-0.0499466
2.43,-0.00822499
2.432,0.0335135
2.434,0.0751842
2.436,0.116703
2.438,0.157985
2.44,0.198946
2.442,0.239504
2.444,0.279575
2.446,0.319079
2.448,0.357935
2.45,0.396064
2.452,0.433388
2.454,0.469831
2.456,0.505318
2.458,0.539778
2.46,0.57314
2.462,0.605335
2.464,0.636298
2.466,0.665965
2.468,0.694276
2.47,0.721172
2.472,0.746599
2.474,0.770504
2.476,0.792838
2.478,0.813555
2.48,0.832611
2.482,0.849969
2.484,0.865592
2.486,0.879448
2.488,0.891507
2.49,0.901745
2.492,0.910141
2.494,0.916676
2.496,0.921337
2.498,0.924114
2.5,0.925
2.502,0.923994
2.504,0.921096
2.506,0.916313
2.508,0.909653
2.51,0.901129
2.512,0.89076
2.514,0.878564
2.516,0.864568
2.518,0.848799
2.52,0.831288
2.522,0.812072
2.524,0.79119
2.526,0.768683
2.528,0.744598
2.53,0.718983
2.532,0.691892
2.534,0.663378
2.536,0.633501
2.538,0.602321
2.54,0.569902
2.542,0.536311
2.544,0.501616
2.546,0.465889
2.548,0.429202
2.55,0.391631
2.552,0.353254
2.554,0.314149
2.556,0.274396
2.558,0.234077
2.56,0.193275
2.562,0.152075
2.564,0.110561
2.566,0.0688184
2.568,0.0269338
2.57,-0.0150065
2.572,-0.056916
2.574,-0.0987079
2.576,-0.140296
2.578,-0.181594
2.58,-0.222517
2.582,-0.26298
2.584,-0.302899
2.586,-0.342191
2.588,-0.380775
2.59,-0.418571
2.592,-0.4555
2.594,-0.491486
2.596,-0.526453
2.598,-0.56033
2.6,-0.593045
2.602,-0.62453
2.604,-0.65472
2.606,-0.683552
2.608,-0.710965
2.61,-0.736902
2.612,-0.76131
2.614,-0.784136
2.616,-0.805334
2.618,-0.824858
2.62,-0.842668
2.622,-0.858725
2.624,-0.872997
2.626,-0.885453
2.628,-0.896067
2.63,-0.904815
2.632,-0.91168
2.634,-0.916647
2.636,-0.919704
2.638,-0.920845
2.64,-0.920067
2.642,-0.917371
2.644,-0.912762
2.646,-0.906249
2.648,-0.897846
2.65,-0.887569
2.652,-0.87544
2.654,-0.861482
2.656,-0.845726
2.658,-0.828202
2.66,-0.808949
2.662,-0.788004
2.664,-0.765412
2.666,-0.741219
2.668,-0.715476
2.67,-0.688235
2.672,-0.659555
2.674,-0.629493
2.676,-0.598114
2.678,-0.565481
2.68,-0.531664
2.682,-0.496733
2.684,-0.46076
2.686,-0.423821
2.688,-0.385994
2.69,-0.347356
2.692,-0.30799
2.694,-0.267977
2.696,-0.227401
2.698,-0.186348
2.7,-0.144904
2.702,-0.103155
2.704,-0.0611888
2.706,-0.0190942
2.708,0.0230405
2.71,0.0651268
2.712,0.107076
2.714,0.1488
2.716,0.190211
2.718,0.231221
2.72,0.271745
2.722,0.311696
2.724,0.35099
2.726,0.389544
2.728,0.427278
2.73,0.46411
2.732,0.499963
2.734,0.534761
2.736,0.568431
2.738,0.6009
2.74,0.632101
2.742,0.661966
2.744,0.690433
2.746,0.717441
2.748,0.742933
2.75,0.766853
2.752,0.789152
2.754,0.809781
2.756,0.828697
2.758,0.845858
2.76,0.861229
2.762,0.874776
2.764,0.88647
2.766,0.896285
2.768,0.904201
2.77,0.9102
2.772,0.914269
2.774,0.916399
2.776,0.916584
2.778,0.914824
2.78,0.911123
2.782,0.905486
2.784,0.897927
2.786,0.88846
2.788,0.877105
2.79,0.863886
2.792,0.84883
2.794,0.831969
2.796,0.813338
2.798,0.792977
2.8,0.770928
2.802,0.747237
2.804,0.721956
2.806,0.695137
2.808,0.666836
2.81,0.637115
2.812,0.606036
2.814,0.573664
2.816,0.540069
2.818,0.505322
2.82,0.469497
2.822,0.432669
2.824,0.394918
2.826,0.356323
2.828,0.316968
2.83,0.276935
2.832,0.23631
2.834,0.19518
2.836,0.153633
2.838,0.111757
2.84,0.0696426
2.842,0.0273787
2.844,-0.0149436
2.846,-0.057234
2.848,-0.0994017
2.85,-0.141356
2.852,-0.183008
2.854,-0.224268
2.856,-0.265046
2.858,-0.305257
2.86,-0.344812
2.862,-0.383628
2.864,-0.42162
2.866,-0.458707
2.868,-0.494809
2.87,-0.529848
2.872,-0.563749
2.874,-0.596438
2.876,-0.627845
2.878,-0.657903
2.88,-0.686545
2.882,-0.713711
2.884,-0.73934
2.886,-0.763379
2.888,-0.785773
2.89,-0.806476
2.892,-0.825442
2.894,-0.842629
2.896,-0.858
2.898,-0.871522
2.9,-0.883164
2.902,-0.892901
2.904,-0.900713
2.906,-0.90658
2.908,-0.910491
2.91,-0.912436
2.912,-0.912411
2.914,-0.910414
